imdbId,year,director,writer,stars1,stars2
114709,1995,John Lasseter,John Lasseter,Tom Hanks,Tim Allen
113497,1995,Joe Johnston,Jonathan Hensleigh,Robin Williams,Kirsten Dunst
113228,1995,Howard Deutch,Mark Steven Johnson,Walter Matthau,Jack Lemmon
114885,1995,Forest Whitaker,Terry McMillan,Whitney Houston,Angela Bassett
113041,1995,Charles Shyer,Albert Hackett,Steve Martin,Diane Keaton
113277,1995,Michael Mann,Michael Mann,Al Pacino,Robert De Niro
114319,1995,Sydney Pollack,Samuel A. Taylor,Harrison Ford,Julia Ormond
112302,1995,Peter Hewitt,Mark Twain,Jonathan Taylor Thomas,Brad Renfro
114576,1995,Peter Hyams,Karen Elise Baldwin,Jean-Claude Van Damme,Powers Boothe
113189,1995,Martin Campbell,Ian Fleming,Pierce Brosnan,Sean Bean
112346,1995,Rob Reiner,Aaron Sorkin,Michael Douglas,Annette Bening
112896,1995,Mel Brooks,Mel Brooks,Leslie Nielsen,Mel Brooks
112453,1995,Simon Wells,Cliff Ruby,Kevin Bacon,Bob Hoskins
113987,1995,Oliver Stone,Stephen J. Rivele,Anthony Hopkins,Joan Allen
112760,1995,Renny Harlin,Michael Frost Beckner,Geena Davis,Matthew Modine
112641,1995,Martin Scorsese,Nicholas Pileggi,Robert De Niro,Sharon Stone
114388,1995,Ang Lee,Jane Austen,Emma Thompson,Kate Winslet
113101,1995,Allison Anders,Allison Anders,Tim Roth,Antonio Banderas
112281,1995,Steve Oedekerk,Jack Bernstein,Jim Carrey,Ian McNeice
113845,1995,Joseph Ruben,Doug Richardson,Wesley Snipes,Woody Harrelson
113161,1995,Barry Sonnenfeld,Elmore Leonard,Gene Hackman,Rene Russo
112722,1995,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter
112401,1995,Richard Donner,Lilly Wachowski,Sylvester Stallone,Antonio Banderas
114168,1995,Victor Salva,Victor Salva,Mary Steenburgen,Sean Patrick Flanery
113627,1995,Mike Figgis,John O'Brien,Nicolas Cage,Elisabeth Shue
114057,1995,Oliver Parker,Oliver Parker,Laurence Fishburne,Kenneth Branagh
114011,1995,Lesli Linka Glatter,I. Marlene King,Christina Ricci,Demi Moore
114117,1995,wMEleAqXOL,EgPZSzvNrk,hdKIWvLNpG,gRebGhvYWz
112682,1995,Marc Caro,Gilles Adrien,Ron Perlman,Daniel Emilfork
115012,1995,Yimou Zhang,Bi Feiyu,Li Gong,Baotian Li
112792,1995,John N. Smith,LouAnne Johnson,Michelle Pfeiffer,George Dzundza
114746,1995,Terry Gilliam,Chris Marker,Bruce Willis,Madeleine Stowe
112431,1995,Chris Noonan,Dick King-Smith,James Cromwell,Magda Szubanski
112818,1995,Tim Robbins,Helen Prejean,Susan Sarandon,Sean Penn
113442,1995,Andy Tennant,Deborah Dean Davis,Kirstie Alley,Steve Guttenberg
112697,1995,Amy Heckerling,Amy Heckerling,Alicia Silverstone,Stacey Dash
112749,1995,Darrell Roodt,Ronald Harwood,Richard Harris,James Earl Jones
114279,1995,Richard Loncraine,William Shakespeare,Ian McKellen,Annette Bening
112819,1995,Albert Hughes,Allen Hughes,Larenz Tate,Keith David
114272,1995,Michael Hoffman,Rose Tremain,Robert Downey Jr.,Sam Neill
113855,1995,Paul W.S. Anderson,Ed Boon,Christopher Lambert,Robin Shou
114681,1995,Gus Van Sant,Joyce Maynard,Nicole Kidman,Matt Dillon
113347,1995,Jocelyn Moorhouse,Whitney Otto,Winona Ryder,Ellen Burstyn
114369,1995,David Fincher,Andrew Kevin Walker,Morgan Freeman,Brad Pitt
114148,1995,Mike Gabriel,Carl Binder,Mel Gibson,Linda Hunt
114916,1995,Patricia Rozema,Patricia Rozema,Pascale Bussières,Rachael Crawford
114814,1995,Bryan Singer,Christopher McQuarrie,Kevin Spacey,Gabriel Byrne
113819,1995,Woody Allen,Woody Allen,Woody Allen,Mira Sorvino
110299,1994,Gianni Amelio,Gianni Amelio,Enrico Lo Verso,Michele Placido
112499,1995,Holly Goldberg Sloan,Holly Goldberg Sloan,Steve Guttenberg,Olivia d'Abo
113158,1995,Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh,Mare Winningham
113321,1995,Jodie Foster,Chris Radant,Holly Hunter,Anne Bancroft
110877,1994,Michael Radford,Antonio Skármeta,Massimo Troisi,Philippe Noiret
113419,1995,Frank Oz,Lynne Reid Banks,Hal Scardino,Litefoot
116260,1996,John Schlesinger,Erika Holzer,Sally Field,Kiefer Sutherland
113862,1995,Stephen Herek,Patrick Sheane Duncan,Richard Dreyfuss,Glenne Headly
116126,1996,Paris Barclay,Shawn Wayans,Shawn Wayans,Marlon Wayans
118002,1996,Bill Bennett,Denis Leary,Sandra Bullock,Denis Leary
115683,1996,Jason Bloom,Adam Leff,Pauly Shore,Stephen Baldwin
116839,1996,Farhad Mann,Farhad Mann,Patrick Bergin,Matt Frewer
113149,1995,Josiane Balasko,Patrick Aubrée,Victoria Abril,Josiane Balasko
113118,1995,F. Gary Gray,Ice Cube,Ice Cube,Chris Tucker
